# prefix,generation number,ASDSF
10429104731379,2300,0.000000
10821712494025,1900,0.000000
11630429303260,1900,0.000000
12366818663757,2700,0.000000
13562728733630,1900,0.000000
15247418775136,3100,0.000000
16342805798288,2700,0.000000
19601860954847,2300,0.000000
21054478013374,2300,0.000000
21145394536536,2300,0.000000
21869017383488,1500,0.000000
21993719131485,4300,0.000000
24876998993067,3500,0.000000
25326943670150,1500,0.000000
25815773996632,1900,0.000000
2642320256279,2300,0.000000
26544991605089,3100,0.000000
30288856850426,3500,0.000000
31133646555410,5000,0.007466
31218229487437,2700,0.000000
3210457355110,3100,0.000000
32923603145436,3100,0.000000
33398534492615,3500,0.000000
33719034199967,1900,0.000000
35015459294910,2300,0.000000
36816904600365,2300,0.000000
37902062704129,2300,0.000000
38305273813422,1500,0.000000
39307531288502,2300,0.000000
41180333693747,1900,0.000000
4198144756755,1900,0.000000
41991523108496,1900,0.000000
42207042519455,5000,0.004266
4223877831712,1900,0.000000
43535339731752,3100,0.000000
44345494785576,2300,0.000000
45526072294976,1900,0.000000
45823800706795,2700,0.000000
45851557797501,1900,0.000000
46613082668787,1100,0.000000
47829474256851,1500,0.000000
49074072353760,3100,0.000000
50808195145239,1900,0.000000
51034432892713,2700,0.000000
51529814547026,1900,0.000000
51657143154887,2700,0.000000
52497514316672,2300,0.000000
53066690851631,1900,0.000000
53241120735732,3100,0.000000
53747430471389,2300,0.000000
54350836790514,3500,0.000000
56890097284296,1900,0.000000
57170468998693,1900,0.000000
57821941908279,2700,0.000000
58149474175798,2700,0.000000
58710406215116,2300,0.000000
59344079655828,2300,0.000000
60374732074509,2300,0.000000
60455865394551,2300,0.000000
60808638614048,1900,0.000000
61002833732358,5000,0.001067
61282790016860,3100,0.000000
61298732153098,1500,0.000000
61519484201724,2700,0.000000
64979419708239,2700,0.000000
65785386568555,3100,0.000000
6679106329589,3500,0.000000
67042490841562,3100,0.000000
67240234755274,3500,0.000000
7254109082445,2300,0.000000
73234977670216,2700,0.000000
73362479002610,2300,0.000000
73528291935206,2300,0.000000
7445119994421,2700,0.000000
77246953988763,3100,0.000000
78053518454219,2300,0.000000
79077076290120,1900,0.000000
79332261816188,3100,0.000000
79842781046730,3100,0.000000
79856461344435,1900,0.000000
80987875819453,5000,0.005333
83149149377780,2700,0.000000
84306329595458,3100,0.000000
8536958492505,3100,0.000000
87327056872839,2300,0.000000
87992337986244,1900,0.000000
89142046768196,1500,0.000000
89216005520801,1900,0.000000
9010137994444,1900,0.000000
90570612241282,2300,0.000000
90669184258856,1900,0.000000
90710013112130,2700,0.000000
90805232334131,2700,0.000000
92599064622142,1900,0.000000
935783922798,2700,0.000000
94570854898095,1900,0.000000
94578759829834,1500,0.000000
94729796269595,2700,0.000000
98978401082068,2600,0.000000
99215373075759,1900,0.000000
