# prefix,generation number,ASDSF
10323023192064,4300,0.000000
12930976200373,2300,0.000000
13682691016204,2300,0.000000
13835799521705,1900,0.000000
14817073758667,3100,0.000000
15612311616678,1100,0.000000
1710912604991,2700,0.000000
18111582176212,2700,0.000000
20910017852887,2300,0.000000
21609247144112,1100,0.000000
21647172327912,1500,0.000000
23211347757583,2300,0.000000
23637824010176,1900,0.000000
24440980795412,1900,0.000000
25439071089910,2300,0.000000
25448185680680,2300,0.000000
25718434403301,1900,0.000000
26909697914710,1900,0.000000
27959838426597,1500,0.000000
28091507088553,2300,0.000000
28879185324155,1500,0.000000
31261218077274,2300,0.000000
31614466631521,2300,0.000000
33295238951696,1900,0.000000
33325865482001,2300,0.000000
33329154942331,1900,0.000000
33691192319301,2300,0.000000
35953987238519,2700,0.000000
35973623404889,2700,0.000000
36954974794411,2300,0.000000
39353440550182,3500,0.000000
39369451685430,4300,0.000000
39969867119917,3100,0.000000
40739021080224,2700,0.000000
42025000231776,3100,0.000000
42495129868932,2300,0.000000
42804472534376,1900,0.000000
42968356567903,2300,0.000000
44084099602723,2300,0.000000
44110171204105,1900,0.000000
44254594522755,1900,0.000000
44798909775082,2700,0.000000
46338568636224,2300,0.000000
4681424683478,2300,0.000000
46819536732598,2300,0.000000
47200813568519,2700,0.000000
4775588661243,1900,0.000000
48300739602141,2300,0.000000
49206937660775,2700,0.000000
4935897443650,2300,0.000000
49648955077165,1900,0.000000
50355067120288,1500,0.000000
54131391234938,2300,0.000000
55421399862321,2700,0.000000
55716054430178,1900,0.000000
56809518225145,2700,0.000000
57009614917933,1500,0.000000
582887420022,2300,0.000000
61965774634456,2700,0.000000
62152550120194,2300,0.000000
62367460534680,1500,0.000000
62443449768509,1500,0.000000
62534464081964,2300,0.000000
62788978435589,1900,0.000000
63522207519082,3100,0.000000
65072931013996,1900,0.000000
67020712693089,3500,0.000000
6724245602602,2300,0.000000
7222163444342,3100,0.000000
73078034907876,2300,0.000000
73298074206112,2300,0.000000
7445692854562,2300,0.000000
75043082129731,2700,0.000000
75690524894419,1500,0.000000
75728041641117,2700,0.000000
7669362464774,3100,0.000000
76797018288876,1500,0.000000
77458948649270,3100,0.000000
78949282961554,1500,0.000000
79026633166767,1900,0.000000
80481151132280,3500,0.000000
82607021884782,1500,0.000000
83726974103984,1900,0.000000
84696245305026,1900,0.000000
8574244308716,2300,0.000000
88385580360553,3900,0.000000
89106063604729,1900,0.000000
8990917931325,3100,0.000000
91188101246078,2700,0.000000
9140039851564,1900,0.000000
91411996511890,3100,0.000000
92049861108240,3100,0.000000
93001350209326,1900,0.000000
93679370164698,1900,0.000000
95479697147220,3500,0.000000
96142276655366,1500,0.000000
96466343641297,1900,0.000000
96742994387529,3900,0.000000
98703261695238,1500,0.000000
98748774372817,2300,0.000000
