# prefix,generation number,ASDSF
1092766342576,1900,0.000000
11844968638459,3500,0.000000
12050219549992,1900,0.000000
12610807831176,1900,0.000000
13126929539313,2300,0.000000
13778340467203,2700,0.000000
16122412115027,1500,0.000000
19584378133737,2700,0.000000
1975977954190,2300,0.000000
19961727157568,1900,0.000000
19995719324177,3100,0.000000
20761968860785,2300,0.000000
20784719221918,1500,0.000000
22538870845187,3500,0.000000
22812092488426,1500,0.000000
23158617632796,3100,0.000000
25246970756571,3900,0.000000
26980030948281,2300,0.000000
27032429379556,2700,0.000000
27129108855795,1500,0.000000
27985464101327,5000,0.024477
2821794630757,1900,0.000000
29175478579934,2300,0.000000
30487608732699,1100,0.000000
30757571052018,3500,0.000000
310354358242,1500,0.000000
31057104491073,3100,0.000000
31248761087672,3100,0.000000
32212269150353,1500,0.000000
32350392392831,1900,0.000000
32577950961657,1900,0.000000
35039985438522,1900,0.000000
35766783071814,2700,0.000000
36323542096783,1900,0.000000
37489216187495,2700,0.000000
38663839635799,3100,0.000000
40303412030082,3500,0.000000
41556026879291,2300,0.000000
41984005358340,2300,0.000000
42015791525905,2700,0.000000
42102001113495,1500,0.000000
42461971986082,3500,0.000000
43644766519939,1500,0.000000
44465051468551,2700,0.000000
44953586452841,3100,0.000000
44996546268340,1500,0.000000
45064548643931,1900,0.000000
4875500848777,1500,0.000000
49709025884552,1900,0.000000
49822992398707,2700,0.000000
49896206155848,1500,0.000000
50603279000796,2300,0.000000
52161942579361,1900,0.000000
52633816206192,3100,0.000000
56302225188690,3100,0.000000
56437580401990,1900,0.000000
57296004501257,1900,0.000000
57880899848701,3100,0.000000
57983553168957,2700,0.000000
58223250444569,2300,0.000000
60237758288977,4700,0.000000
61005712013379,1900,0.000000
61755866688246,2300,0.000000
62029657693606,3900,0.000000
62136298677236,3100,0.000000
6236178590842,4700,0.000000
63007474933283,2700,0.000000
65255299951752,1500,0.000000
66794360204859,2300,0.000000
69496467688599,2300,0.000000
69907164429437,1100,0.000000
73207416584461,2300,0.000000
73580529655893,2300,0.000000
76069673818574,1900,0.000000
77228205389650,3100,0.000000
77597039927763,2300,0.000000
78045275532812,1500,0.000000
79478963578678,2700,0.000000
79480691180615,2700,0.000000
80620915454652,2700,0.000000
8070487490882,2300,0.000000
81264338314608,1900,0.000000
83141469519812,3100,0.000000
85208787747553,2700,0.000000
85621349839195,1900,0.000000
85636680183543,4300,0.000000
86587186735126,1500,0.000000
89162208067235,3100,0.000000
89555940742121,2300,0.000000
89699383777046,2700,0.000000
89833409436039,1900,0.000000
91081082734717,2300,0.000000
9195683901390,2700,0.000000
93016222658147,1900,0.000000
93166432745251,2700,0.000000
93633216072961,3100,0.000000
97134518898845,2700,0.000000
98543768358961,2300,0.000000
99545299474202,1500,0.000000
99980492097778,2700,0.000000
