# prefix,generation number,ASDSF
10934992874333,2300,0.000000
14213999003659,2300,0.000000
16602792377054,2300,0.000000
17198317764621,2300,0.000000
17781969059785,2300,0.000000
18229841573368,1500,0.000000
19488531558091,1900,0.000000
19824299702012,2700,0.000000
20687937679931,3500,0.000000
20975884051739,1900,0.000000
2222998686431,2300,0.000000
22243162224748,1500,0.000000
22248044761381,3100,0.000000
23451525107,1900,0.000000
23497282102326,1900,0.000000
24190423418893,3100,0.000000
24462023674262,1900,0.000000
2513823962277,2700,0.000000
26053162629655,2300,0.000000
26386407301258,2300,0.000000
26720396749869,1500,0.000000
27387310600139,3100,0.000000
28982703004524,2300,0.000000
29738612089973,1900,0.000000
3200086438833,2700,0.000000
32518647149777,1900,0.000000
33559266537446,5000,0.001067
33609036397128,2300,0.000000
34812104568840,3100,0.000000
35891762803750,1900,0.000000
36576898901221,2300,0.000000
36949070445998,3100,0.000000
38569913148886,2300,0.000000
38594352987809,2700,0.000000
38792173554030,2300,0.000000
38903589115089,2300,0.000000
38995315130652,1900,0.000000
39931886461162,1900,0.000000
40426419064930,2700,0.000000
43099358404830,1900,0.000000
43412834791773,3900,0.000000
43677095495545,1900,0.000000
45017953908318,1900,0.000000
46438633689095,2300,0.000000
48657545619121,2700,0.000000
49388731542687,3500,0.000000
49621083441742,2300,0.000000
49726206568923,2300,0.000000
51065551488717,2300,0.000000
51682571662525,2300,0.000000
51915339704387,2300,0.000000
52712156769418,2300,0.000000
52943182894892,1900,0.000000
5389807838984,1900,0.000000
5422426347313,2300,0.000000
55195758287096,1900,0.000000
55804276751643,3100,0.000000
55819862140415,1900,0.000000
56350794943228,2300,0.000000
56378725661871,2300,0.000000
56733916198937,2700,0.000000
59249538737736,2300,0.000000
60134608315367,2700,0.000000
62110151651089,3100,0.000000
63426609765154,3100,0.000000
64599281798582,3500,0.000000
64702593794729,1900,0.000000
65786509555634,3100,0.000000
66286636047338,3500,0.000000
66485309222525,1500,0.000000
67942262153504,2300,0.000000
69330846183922,2700,0.000000
72509409477610,1900,0.000000
72677136891563,3500,0.000000
7367138602238,1100,0.000000
74493437124351,1900,0.000000
7498936386632,1900,0.000000
76571826871635,2700,0.000000
77416004716270,2300,0.000000
78488586429738,4700,0.000000
7944893061810,1900,0.000000
8072334186513,1900,0.000000
82085603516368,1500,0.000000
82612125677206,2300,0.000000
83564394845493,4300,0.000000
84562728209636,1500,0.000000
85778031722056,5000,0.001067
87101732264745,2700,0.000000
88238733749586,1900,0.000000
9047734099365,5000,0.006399
91059621626432,2300,0.000000
91477324090898,2700,0.000000
92204237596889,1900,0.000000
92634342108956,5000,0.003200
93069857393191,1900,0.000000
9411191840461,2700,0.000000
94647700322361,1100,0.000000
97870995247960,3100,0.000000
9823478126206,2700,0.000000
98324743158205,1900,0.000000
